Ship,Duration,Level,Target Artifact,Ancient puzzle cube,Puzzle cube,Puzzle cube (Epic),Mystical puzzle cube,Mystical puzzle cube (Rare),Unsolvable puzzle cube,Unsolvable puzzle cube (Rare),Unsolvable puzzle cube (Epic),Unsolvable puzzle cube (Legendary),Basic lunar totem,Lunar totem,Lunar totem (Rare),Powerful lunar totem,Powerful lunar totem (Rare),Eggceptional lunar totem,Eggceptional lunar totem (Rare),Eggceptional lunar totem (Epic),Eggceptional lunar totem (Legendary),Simple Demeters necklace,Jeweled Demeters necklace,Jeweled Demeters necklace (Rare),Pristine Demeters necklace,Pristine Demeters necklace (Rare),Pristine Demeters necklace (Epic),Beggspoke Demeters necklace,Beggspoke Demeters necklace (Rare),Beggspoke Demeters necklace (Epic),Beggspoke Demeters necklace (Legendary),Tiny vial of Martian dust,Vial of Martian dust,Vial of Martian dust (Rare),Hermetic vial of Martian dust,Hermetic vial of Martian dust (Epic),Prime vial of Martian dust,Prime vial of Martian dust (Rare),Prime vial of Martian dust (Legendary),Plain Aurelian brooch,Aurelian brooch,Jeweled Aurelian brooch,Jeweled Aurelian brooch (Rare),Jeweled Aurelian brooch (Epic),Eggceptional Aurelian brooch,Eggceptional Aurelian brooch (Rare),Eggceptional Aurelian brooch (Epic),Eggceptional Aurelian brooch (Legendary),Crude tungsten ankh,Tungsten ankh,Tungsten ankh (Rare),Polished tungsten ankh,Polished tungsten ankh (Rare),Polished tungsten ankh (Legendary),Brilliant tungsten ankh,Brilliant tungsten ankh (Rare),Brilliant tungsten ankh (Legendary),Plain gusset,Ornate gusset,Ornate gusset (Epic),Distegguished gusset,Distegguished gusset (Rare),Jeweled gusset,Jeweled gusset (Epic),Jeweled gusset (Legendary),Weak neodymium medallion,Neodymium medallion,Neodymium medallion (Rare),Precise neodymium medallion,Precise neodymium medallion (Epic),Eggceptional neodymium medallion,Eggceptional neodymium medallion (Rare),Eggceptional neodymium medallion (Epic),Eggceptional neodymium medallion (Legendary),Misaligned Mercury's lens,Mercury's lens,Mercury's lens (Rare),Precise Mercury's lens,Precise Mercury's lens (Rare),Meggnificent Mercury's lens,Meggnificent Mercury's lens (Rare),Meggnificent Mercury's lens (Epic),Meggnificent Mercury's lens (Legendary),Dull beak of Midas,Beak of Midas,Jeweled beak of Midas,Jeweled beak of Midas (Rare),Glistening beak of Midas,Glistening beak of Midas (Rare),Glistening beak of Midas (Legendary),Simple carved rainstick,Carved rainstick,Ornate carved rainstick,Meggnificent carved rainstick,Meggnificent carved rainstick (Epic),Meggnificent carved rainstick (Legendary),Miscalibrated interstellar compass,Interstellar compass,Precise interstellar compass,Precise interstellar compass (Rare),Clairvoyant interstellar compass,Clairvoyant interstellar compass (Rare),Clairvoyant interstellar compass (Epic),Clairvoyant interstellar compass (Legendary),Plain chalice,Polished chalice,Polished chalice (Epic),Jeweled chalice,Jeweled chalice (Rare),Jeweled chalice (Epic),Eggceptional chalice,Eggceptional chalice (Epic),Eggceptional chalice (Legendary),Tattered phoenix feather,Phoenix feather,Brilliant phoenix feather,Brilliant phoenix feather (Rare),Blazing phoenix feather,Blazing phoenix feather (Rare),Blazing phoenix feather (Legendary),Misaligned quantum metronome,Adequate quantum metronome,Adequate quantum metronome (Rare),Perfect quantum metronome,Perfect quantum metronome (Rare),Perfect quantum metronome (Epic),Reggference quantum metronome,Reggference quantum metronome (Rare),Reggference quantum metronome (Epic),Reggference quantum metronome (Legendary),Dilithium monocle,Precise dilithium monocle,Eggsacting dilithium monocle,Flawless dilithium monocle,Flawless dilithium monocle (Epic),Flawless dilithium monocle (Legendary),Inconsistent titanium actuator,Titanium actuator,Precise titanium actuator,Precise titanium actuator (Rare),Reggference titanium actuator,Reggference titanium actuator (Epic),Reggference titanium actuator (Legendary),Ship in a bottle,Detailed ship in a bottle,Complex ship in a bottle,Complex ship in a bottle (Rare),Eggquisite ship in a bottle,Eggquisite ship in a bottle (Rare),Eggquisite ship in a bottle (Epic),Eggquisite ship in a bottle (Legendary),Weak tachyon deflector,Tachyon deflector,Robust tachyon deflector,Robust tachyon deflector (Rare),Book of Basan,Collectors book of Basan,Fortified book of Basan,Fortified book of Basan (Epic),Dim light of Eggendil,Shimmering light of Eggendil,Shimmering light of Eggendil (Rare),Glowing light of Eggendil,Glowing light of Eggendil (Rare),Brilliant light of Eggendil,Brilliant light of Eggendil (Epic),Brilliant light of Eggendil (Legendary),Lunar stone,Eggsquisite lunar stone,Meggnificent lunar stone,Shell stone,Eggsquisite shell stone,Flawless shell stone,Tachyon stone,Eggsquisite tachyon stone,Brilliant tachyon stone,Terra stone,Rich terra stone,Eggceptional terra stone,Soul stone,Eggsquisite soul stone,Radiant soul stone,Dilithium stone,Eggsquisite dilithium stone,Quantum stone,Phased quantum stone,Meggnificent quantum stone,Life stone,Good life stone,Eggceptional life stone,Clarity stone,Eggsquisite clarity stone,Prophecy stone,Eggsquisite prophecy stone,Tiny gold meteorite,Enriched gold meteorite,Solid gold meteorite,Tau Ceti geode piece,Glimmering Tau Ceti geode,Radiant Tau Ceti geode,Solar titanium ore,Solar titanium bar,Solar titanium geogon,Clarity Stone Fragment,Dilithium Stone Fragment,Life Stone Fragment,Lunar Stone Fragment,Prophecy Stone Fragment,Quantum Stone Fragment,Shell Stone Fragment,Soul Stone Fragment,Tachyon Stone Fragment,Terra Stone Fragment
Atreggies,Epic,8,Book of Basan,0,0,0,347105,63738,131839,6735,2496,632,0,0,0,314713,34257,155055,12123,2296,530,0,0,0,244207,26408,7572,366041,23736,8900,1921,0,146285,26053,424621,13476,71811,4242,346,0,0,336727,61792,10689,266642,16981,5193,1398,0,164878,15033,425635,77602,2215,115299,7131,554,0,194317,5983,426144,77778,46358,928,192,0,164923,26227,367956,8460,266836,16954,4910,1310,0,233876,43155,424696,77858,18883,1122,269,84,0,214544,424823,73012,170903,8969,584,169536,284388,377223,42952,774,162,190579,273362,389748,71590,42863,2408,726,175,222115,263784,9894,426101,77853,13592,71293,1485,352,312928,368255,308575,57038,7875,425,32,368207,388831,52852,228140,41846,8591,6970,465,129,28,397740,424889,186915,1929,46,13,408018,425751,162794,29386,14739,207,67,544111,403511,108941,19346,1123,33,11,4,579560,195181,29569,4926,1305578,587944,71466,2037,820070,228772,30514,42299,7321,0,0,0,0,186350,18856,0,166744,26185,0,166683,10243,83471,200881,1926,83229,97821,10463,174358,106827,101816,195847,12067,125473,140518,868,154705,24097,118313,10569,0,1587876,372228,0,1321100,86147,0,967478,274933,589320,177729,217926,0,635606,0,0,0,0,197993
Atreggies,Short,4,Tau Ceti geode,0,0,0,40653,4122,0,0,0,0,0,8009,264,40681,2078,0,0,0,0,0,6008,208,36665,1873,378,4730,96,37,7,0,24134,2421,16647,150,0,0,0,0,13372,40411,4073,425,497,18,2,0,0,26583,1117,18418,1906,27,0,0,0,0,30400,293,13419,1370,0,0,0,0,26510,2217,35280,235,525,16,2,0,14029,35088,3847,12263,1291,0,0,0,0,17932,32781,19985,1878,0,0,0,33352,40806,5588,0,0,0,35861,40556,6415,682,0,0,0,0,40504,38974,517,12273,1231,124,0,0,0,52739,35602,1810,146,0,0,0,60036,30436,2116,44,2,1,0,0,0,0,63552,19228,0,0,0,0,65619,16603,0,0,0,0,0,80220,7385,0,0,0,0,0,0,20442,1210,0,0,14951,5,0,0,12147,52,1,0,0,0,0,0,978,3406,0,0,4474,0,716,4537,0,3064,2102,0,3137,191,0,4065,1,3786,2922,0,4476,171,0,1197,0,451,0,0,159632,0,66802,79625,0,23556,88641,0,23391,9436,10572,0,24017,7226,0,7871,0,9985
Corellihen Corvette,Epic,4,UNKNOWN,0,979,33,2,0,0,0,0,0,0,1565,116,29,1,0,0,0,0,0,1486,90,283,33,11,0,0,0,0,631,1248,188,0,0,0,0,0,860,2021,8,4,0,0,0,0,0,971,995,87,0,0,0,0,0,0,1660,667,18,0,0,0,0,0,2606,980,137,0,0,0,0,0,0,3044,315,47,0,0,0,0,0,0,3294,489,0,0,0,0,0,3883,106,0,0,0,0,1981,148,0,0,0,0,0,0,1652,150,3,0,0,0,0,0,0,951,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,461,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,556,2,0,703,0,0,428,0,0,404,0,0,0,0,199,0,0,75,0,0,0,0,0,0,2474,10,0,5350,0,0,6760,33,0,375,4467,4629,1281,232,4484,1153,4477,2933,4712
Henerprise,Epic,8,Gold meteorite,0,0,0,7252,1213,2615,117,39,7,0,0,0,6336,603,3038,232,40,4,0,0,0,4537,394,113,7535,413,141,26,0,2077,339,9417,262,1356,62,2,0,0,6741,1122,183,5606,270,94,17,0,2603,208,9181,1418,33,2147,112,9,0,3256,67,9083,1551,795,13,6,0,2544,350,7806,127,5521,282,74,20,0,4274,664,9220,1484,356,15,3,2,0,3671,9366,1358,3338,156,10,0,5498,7924,749,15,1,0,5193,8140,1345,775,45,18,6,2711,4927,145,9244,1439,221,1313,24,10,4839,7675,6433,1099,143,5,0,6433,8253,919,4584,709,140,115,7,0,0,7101,9272,3736,32,1,0,7276,9188,3172,500,258,2,1,11050,8631,2057,339,14,1,0,0,12517,3904,478,89,18473,2561,273,3,18700,4729,560,735,109,0,0,0,0,3782,352,0,3305,466,0,3336,183,1186,4064,28,1184,1775,177,3423,2102,1660,3947,196,2303,2755,9,3147,458,2333,215,56409,218261,38341,0,30138,1599,0,20979,5678,11439,0,0,0,12919,0,0,0,0,0
Millenium Chicken,Short,1,UNKNOWN,5801,20247,259,0,0,0,0,0,0,8836,9186,321,0,0,0,0,0,0,16495,14738,533,0,0,0,0,0,0,0,25442,0,0,0,0,0,0,0,28452,1389,0,0,0,0,0,0,0,30118,0,0,0,0,0,0,0,0,38797,0,0,0,0,0,0,0,38804,0,0,0,0,0,0,0,0,11740,0,0,0,0,0,0,0,0,6978,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,2307,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91074,0,0,78539,0,0,57046,0,0,0,196,4,12381,0,1345,9275,855,11712,61
Voyegger,Short,5,UNKNOWN,0,0,0,30461,3307,0,0,0,0,0,9251,377,37688,2025,53,3,0,0,0,0,0,48970,2670,584,2337,53,14,3,0,34262,3688,11074,123,0,0,0,0,17697,32896,3465,351,35,1,0,0,0,38037,1695,12460,1331,16,0,0,0,0,43875,559,8801,933,0,0,0,0,37888,3528,26377,196,23,1,1,0,14664,48630,5368,7678,814,0,0,0,0,20938,47948,13784,1266,0,0,0,45142,46036,2776,0,0,0,48801,48633,3475,370,0,0,0,0,55599,49038,694,7576,832,83,0,0,0,73802,25947,524,48,0,0,0,85760,22027,1627,0,0,0,0,0,0,0,91081,13058,0,0,0,0,93425,11111,0,0,0,0,0,45451,4170,0,0,0,0,0,0,14830,418,0,0,9854,0,0,0,7756,0,0,0,0,0,0,0,1270,2577,0,0,3490,0,0,3434,0,4868,1449,0,4789,98,0,3164,0,5804,2118,0,5959,23,0,793,0,288,0,0,115123,0,0,20258,0,0,69933,0,29155,13010,14934,0,27506,9636,0,10902,0,14030
